"Joakim Noah, C",NY,7,5.7,-2.28,1.49,-0.79,0.06
"Cory Joseph, PG",IND,82,27.0,-0.16,-0.66,-0.82,3.25
"Nerlens Noel, C",DAL,30,15.7,-3.19,2.36,-0.83,0.69
"Jarrett Jack, PG",NY,62,25.0,-0.44,-0.40,-0.84,2.25
"Josh McRoberts, PF",DAL,2,3.0,-1.97,1.11,-0.86,0.01
"Willie Cauley-Stein, C",SAC,73,28.0,-1.69,0.82,-0.87,2.91
"Cole Aldrich, C",MIN,21,2.3,-2.03,1.12,-0.91,0.07
"Mirza Teletovic, PF",MIL,10,15.9,-1.35,0.41,-0.94,0.22
"Devin Booker, SG",PHX,54,34.5,1.49,-2.44,-0.95,2.71
"Darius Miller, SF",NO,82,23.7,1.32,-2.28,-0.96,2.75
"Bobby Portis, PF",CHI,73,22.5,1.44,-2.09,-0.65,2.65
"MarShon Brooks, SG",MEM,7,27.6,0.40,-1.06,-0.66,0.30
"Nigel Hayes, SF",LAL/SAC/TOR,9,13.6,-1.59,0.93,-0.66,0.02
"Khem Birch, C",ORL,42,13.8,-1.29,0.59,-0.70,0.89
"Adreian Payne, PF",ORL,5,8.6,-1.43,0.70,-0.73,0.06
"Patty Mills, PG",SA,82,25.7,1.41,-2.15,-0.74,3.16
"Luke Kennard, SG",DET,73,20.0,-0.15,-0.59,-0.74,2.16
"Carmelo Anthony, F",OKC,78,32.1,0.49,-1.25,-0.76,3.81
"Jerami Grant, SF",OKC,81,20.3,-0.38,-0.38,-0.76,2.44
"Wesley Johnson, SF",LAC,74,20.1,-2.30,1.53,-0.77,2.31
"Al Jefferson, C",IND,36,13.4,-1.78,0.96,-0.82,0.70
"J.J. Barea, PG",DAL,69,23.2,1.45,-2.28,-0.83,2.32
"Rondae Hollis-Jefferson, SF",BKN,68,28.3,-0.93,0.10,-0.83,2.88
"Shelvin Mack, G",ORL,69,19.8,0.08,-0.93,-0.85,1.96
"Derrick Williams, PF",LAL,2,4.5,-2.11,1.25,-0.86,0.01
"Andre Ingram, SG",LAL,2,32.0,-1.12,0.23,-0.89,0.10
"James Michael McAdoo, SF",PHI,3,6.0,-1.68,0.75,-0.93,0.03
"Malcolm Brogdon, PG",MIL,48,29.9,0.03,-0.97,-0.94,1.98
"Manu Ginobili, SG",SA,65,20.0,0.68,-1.64,-0.96,1.78
"Jeff Withey, C",DAL,10,3.9,-1.81,0.85,-0.96,0.05
"Denzel Valentine, SF",CHI,77,27.2,-0.58,-0.38,-0.96,2.92
"Rajon Rondo, PG",NO,65,26.2,-0.60,-0.37,-0.97,2.46
"Austin Rivers, PG",LAC,61,33.7,1.24,-2.23,-0.99,2.81
"Jacob Wiley, SF",BKN,5,6.6,-1.72,0.71,-1.01,0.05
"Trey Burke, PG",NY,36,21.8,2.08,-3.13,-1.05,1.05
"Wade Baldwin IV, PG",POR,7,11.4,-1.26,0.19,-1.07,0.11
"Jason Terry, SG",MIL,51,16.0,-1.36,0.26,-1.10,1.04
"Cedi Osman, SF",CLE,61,11.0,-0.37,-0.74,-1.11,0.87
"Alex Len, C",PHX,69,20.2,-1.28,0.16,-1.12,1.86
"Wilson Chandler, SF",DEN,74,31.6,-0.79,-0.35,-1.14,2.95
"E'Twaun Moore, SF",NO,82,31.5,0.35,-1.50,-1.15,3.34
"Justin Patton, C",MIN,1,4.0,-1.89,0.74,-1.15,0.01
"Chinanu Onuaku, C",HOU,1,22.0,-2.08,0.89,-1.19,0.02
"Kyle Singler, SF",OKC,12,4.9,-2.21,1.01,-1.20,0.07
"Dillon Brooks, SF",MEM,82,28.7,-1.02,-0.18,-1.20,2.80
"Kris Dunn, PG",CHI,52,29.3,-0.67,-0.55,-1.22,1.90
"Markieff Morris, PF",WSH,73,27.0,-1.14,-0.12,-1.26,2.32
"Malcolm Miller, SF",TOR,15,8.4,-1.56,0.27,-1.29,0.15
"Ryan Anderson, PF",HOU,66,26.1,0.64,-1.96,-1.32,2.00
"Thomas Bryant, C",LAL,15,4.8,-1.93,0.61,-1.32,0.09
"Stanley Johnson, SF",DET,69,27.4,-1.74,0.78,-0.96,2.59
"Bojan Bogdanovic, SF",IND,80,30.8,-0.26,-0.72,-0.98,3.37
"Kosta Koufos, C",SAC,71,19.6,-1.98,0.98,-1.00,1.84
"Tyler Cavanaugh, F",ATL,39,13.3,-0.59,-0.44,-1.03,0.69
"Damion Lee, SG",ATL,15,26.9,-1.78,0.73,-1.05,0.56
"Glenn Robinson III, SG",IND,23,14.7,-1.59,0.51,-1.08,0.44
"Udonis Haslem, PF",MIA,14,5.1,-2.50,1.39,-1.11,0.09
"Patrick Beverley, PG",LAC,11,30.4,-1.17,0.05,-1.12,0.42
"Ante Zizic, PF",CLE,32,6.7,-0.96,-0.16,-1.12,0.28
"Shane Larkin, PG",BOS,54,14.4,-1.85,0.71,-1.14,0.95
"Gian Clavell, SG",DAL,7,9.1,-0.59,-0.56,-1.15,0.08
"Timofey Mozgov, C",BKN,31,11.6,-3.03,1.86,-1.17,0.46
"Guerschon Yabusele, PF",BOS,33,7.1,-1.59,0.40,-1.19,0.29
"Mike James, PG",NO/PHX,36,19.1,-0.41,-0.79,-1.20,0.86
"Tyler Zeller, C",MIL/BKN,66,16.8,-1.81,0.59,-1.22,1.37
"Alec Peters, PF",PHX,20,11.3,-1.32,0.10,-1.22,0.28
"Courtney Lee, SG",NY,76,30.4,0.30,-1.58,-1.28,2.71
"Joel Bolomboy, PF",MIL,6,6.3,-1.84,0.55,-1.29,0.04
